User ID,Investment Type,Daily Amount,Gross Invested,Platform Fees,Net Invested,Portfolio Value,Total Return,ROI %
1,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
2,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
3,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
4,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
5,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
6,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
7,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
8,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
9,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
10,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
11,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
12,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
13,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
14,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
15,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
16,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
17,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
18,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
19,$40/day,$40.00,7200.0,143.9999999999999,7055.999999999979,7190.851580452842,134.85158045286335,1.9111618544906994
